algorithm,min_support,running_time,num_itemsets,comparison_count,subset_check_count,trie_insert_count
Apriori_k1km1,50,935.9105470180511,3147,767868,14776619984,0
Apriori_km1km1,50,110.96339082717896,3147,1635623,1918934350,0
Apriori_trie_improved,50,113.81346988677979,3147,1494098,1918934350,141525
Apriori_k1km1,100,431.7561013698578,1639,398277,7303664612,0
Apriori_km1km1,100,78.39447116851807,1639,548455,1397618392,0
Apriori_trie_improved,100,80.18517637252808,1639,406930,1397618392,141525
Apriori_k1km1,150,147.04242372512817,961,147994,2628959714,0
Apriori_km1km1,150,30.241934537887573,961,283093,555488582,0
Apriori_trie_improved,150,31.3975772857666,961,141568,555488582,141525
Apriori_k1km1,200,65.31572127342224,641,72433,1221461660,0
Apriori_km1km1,200,15.491656064987183,641,206495,295341620,0
Apriori_trie_improved,200,16.325748682022095,641,64970,295341620,141525
Apriori_k1km1,250,41.056657552719116,501,45591,759974000,0
Apriori_km1km1,250,9.641682147979736,501,181584,186272248,0
Apriori_trie_improved,250,10.041388988494873,501,40059,186272248,141525
Apriori_k1km1,300,26.55572485923767,397,29775,491519736,0
Apriori_km1km1,300,6.885817289352417,397,166957,127623220,0
Apriori_trie_improved,300,6.994796276092529,397,25432,127623220,141525
Apriori_k1km1,350,15.313976287841797,313,18780,301342794,0
Apriori_km1km1,350,4.4320454597473145,313,157438,84907440,0
Apriori_trie_improved,350,4.513179302215576,313,15913,84907440,141525
Apriori_k1km1,400,11.179708003997803,251,13554,215701586,0
Apriori_km1km1,400,3.3755462169647217,251,151906,66641858,0
Apriori_trie_improved,400,3.609208822250366,251,10381,66641858,141525
Apriori_k1km1,450,7.623177528381348,201,9447,149898320,0
Apriori_km1km1,450,2.445986747741699,201,148168,49136250,0
Apriori_trie_improved,450,2.6684820652008057,201,6643,49136250,141525
Apriori_k1km1,500,4.717873811721802,167,6179,94918132,0
Apriori_km1km1,500,1.4945178031921387,167,146009,30529990,0
Apriori_trie_improved,500,1.681161642074585,167,4484,30529990,141525
Apriori_k1km1,550,3.3706448078155518,145,4640,70258286,0
Apriori_km1km1,550,1.1132020950317383,145,144885,22615778,0
Apriori_trie_improved,550,1.2132835388183594,145,3360,22615778,141525
Apriori_k1km1,600,2.5958828926086426,129,3612,54010566,0
Apriori_km1km1,600,0.9092202186584473,129,144186,17898698,0
Apriori_trie_improved,600,1.016648292541504,129,2661,17898698,141525
Apriori_k1km1,650,1.950547695159912,111,2775,40200004,0
Apriori_km1km1,650,0.7196485996246338,111,143571,14649154,0
Apriori_trie_improved,650,0.8190650939941406,111,2046,14649154,141525
Apriori_k1km1,700,1.403001308441162,91,2002,28328686,0
Apriori_km1km1,700,0.5285260677337646,91,142858,10770666,0
Apriori_trie_improved,700,0.6317062377929688,91,1333,10770666,141525
Apriori_k1km1,750,1.3871500492095947,89,1958,28119038,0
Apriori_km1km1,750,0.5376250743865967,89,142795,10770666,0
Apriori_trie_improved,750,0.6370971202850342,89,1270,10770666,141525
Apriori_k1km1,800,1.0988941192626953,75,1500,20991006,0
Apriori_km1km1,800,0.45900702476501465,75,142464,8910040,0
Apriori_trie_improved,800,0.5422196388244629,75,939,8910040,141525
Apriori_k1km1,850,0.8455982208251953,65,1235,17138724,0
Apriori_km1km1,850,0.407529354095459,65,142252,7914212,0
Apriori_trie_improved,850,0.48085927963256836,65,727,7914212,141525
Apriori_k1km1,900,0.8357834815979004,61,1159,16090484,0
Apriori_km1km1,900,0.38518714904785156,61,142168,7652152,0
Apriori_trie_improved,900,0.47400689125061035,61,643,7652152,141525
Apriori_k1km1,950,0.6521279811859131,55,935,12788528,0
Apriori_km1km1,950,0.3291752338409424,55,142041,6001174,0
Apriori_trie_improved,950,0.38902831077575684,55,516,6001174,141525
Apriori_k1km1,1000,0.4623687267303467,49,686,8779010,0
Apriori_km1km1,1000,0.23099756240844727,49,141924,4219166,0
Apriori_trie_improved,1000,0.3127908706665039,49,399,4219166,141525
Apriori_k1km1,1050,0.3230726718902588,45,540,6368058,0
Apriori_km1km1,1050,0.18899869918823242,45,141856,3301956,0
Apriori_trie_improved,1050,0.27499938011169434,45,331,3301956,141525
Apriori_k1km1,1100,0.33154988288879395,45,540,6368058,0
Apriori_km1km1,1100,0.18906426429748535,45,141856,3301956,0
Apriori_trie_improved,1100,0.2499983310699463,45,331,3301956,141525
Apriori_k1km1,1150,0.32950663566589355,45,540,6368058,0
Apriori_km1km1,1150,0.18953227996826172,45,141856,3301956,0
Apriori_trie_improved,1150,0.24950242042541504,45,331,3301956,141525
Apriori_k1km1,1200,0.31824469566345215,43,516,5948762,0
Apriori_km1km1,1200,0.1905043125152588,43,141846,3301956,0
Apriori_trie_improved,1200,0.25554823875427246,43,321,3301956,141525
Apriori_k1km1,1250,0.31099843978881836,43,516,5948762,0
Apriori_km1km1,1250,0.19251751899719238,43,141846,3301956,0
Apriori_trie_improved,1250,0.24659109115600586,43,321,3301956,141525
Apriori_k1km1,1300,0.29305195808410645,39,468,5477054,0
Apriori_km1km1,1300,0.18907594680786133,39,141790,3092308,0
Apriori_trie_improved,1300,0.2667217254638672,39,265,3092308,141525
Apriori_k1km1,1350,0.28350114822387695,39,468,5477054,0
Apriori_km1km1,1350,0.1830136775970459,39,141790,3092308,0
Apriori_trie_improved,1350,0.2500126361846924,39,265,3092308,141525
Apriori_k1km1,1400,0.2989003658294678,38,456,5424642,0
Apriori_km1km1,1400,0.17200970649719238,38,141783,3039896,0
Apriori_trie_improved,1400,0.2561757564544678,38,258,3039896,141525
Apriori_k1km1,1450,0.24316000938415527,35,385,4455020,0
Apriori_km1km1,1450,0.1466691493988037,35,141737,2463364,0
Apriori_trie_improved,1450,0.2190415859222412,35,212,2463364,141525
Apriori_k1km1,1500,0.2500331401824951,35,385,4455020,0
Apriori_km1km1,1500,0.15273046493530273,35,141737,2463364,0
Apriori_trie_improved,1500,0.21201157569885254,35,212,2463364,141525
Apriori_k1km1,1550,0.19559597969055176,33,330,3590222,0
Apriori_km1km1,1550,0.1462702751159668,33,141711,1991656,0
Apriori_trie_improved,1550,0.18800044059753418,33,186,1991656,141525
Apriori_k1km1,1600,0.20101070404052734,33,330,3590222,0
