algorithm,min_support,running_time,num_itemsets,comparison_count,subset_check_count,trie_insert_count
Apriori_k1km1,200,65.72997117042542,641,72433,1221461660,0
Apriori_km1km1,200,15.66923475265503,641,206495,295341620,0
Apriori_trie_improved,200,16.154623985290527,641,64970,295341620,141525
Apriori_k1km1,250,42.29367280006409,501,45591,759974000,0
Apriori_km1km1,250,9.561346054077148,501,181584,186272248,0
Apriori_trie_improved,250,9.942388534545898,501,40059,186272248,141525
Apriori_k1km1,300,26.921051502227783,397,29775,491519736,0
Apriori_km1km1,300,6.598262548446655,397,166957,127623220,0
Apriori_trie_improved,300,6.830258369445801,397,25432,127623220,141525
Apriori_k1km1,350,15.071743249893188,313,18780,301342794,0
Apriori_km1km1,350,4.239023685455322,313,157438,84907440,0
Apriori_trie_improved,350,4.487250089645386,313,15913,84907440,141525
Apriori_k1km1,400,11.075645208358765,251,13554,215701586,0
Apriori_km1km1,400,3.2890684604644775,251,151906,66641858,0
Apriori_trie_improved,400,3.547938823699951,251,10381,66641858,141525
Apriori_k1km1,450,7.651795864105225,201,9447,149898320,0
Apriori_km1km1,450,2.3455333709716797,201,148168,49136250,0
Apriori_trie_improved,450,2.4618947505950928,201,6643,49136250,141525
Apriori_k1km1,500,4.684404373168945,167,6179,94918132,0
Apriori_km1km1,500,1.4944300651550293,167,146009,30529990,0
Apriori_trie_improved,500,1.5781819820404053,167,4484,30529990,141525
Apriori_k1km1,550,3.3536324501037598,145,4640,70258286,0
Apriori_km1km1,550,1.0871813297271729,145,144885,22615778,0
Apriori_trie_improved,550,1.1601231098175049,145,3360,22615778,141525
Apriori_k1km1,600,2.5970256328582764,129,3612,54010566,0
Apriori_km1km1,600,0.85701584815979,129,144186,17898698,0
Apriori_trie_improved,600,0.9519646167755127,129,2661,17898698,141525
Apriori_k1km1,650,1.9141948223114014,111,2775,40200004,0
Apriori_km1km1,650,0.6771326065063477,111,143571,14649154,0
Apriori_trie_improved,650,0.786292314529419,111,2046,14649154,141525
Apriori_k1km1,700,1.3641552925109863,91,2002,28328686,0
Apriori_km1km1,700,0.5119271278381348,91,142858,10770666,0
Apriori_trie_improved,700,0.6285204887390137,91,1333,10770666,141525
Apriori_k1km1,750,1.3522684574127197,89,1958,28119038,0
Apriori_km1km1,750,0.5050272941589355,89,142795,10770666,0
Apriori_trie_improved,750,0.5999994277954102,89,1270,10770666,141525
Apriori_k1km1,800,0.9920485019683838,75,1500,20991006,0
Apriori_km1km1,800,0.4329993724822998,75,142464,8910040,0
Apriori_trie_improved,800,0.5139985084533691,75,939,8910040,141525
Apriori_k1km1,850,0.8078117370605469,65,1235,17138724,0
Apriori_km1km1,850,0.38899779319763184,65,142252,7914212,0
Apriori_trie_improved,850,0.4640641212463379,65,727,7914212,141525
Apriori_k1km1,900,0.7550339698791504,61,1159,16090484,0
Apriori_km1km1,900,0.3809990882873535,61,142168,7652152,0
Apriori_trie_improved,900,0.47600698471069336,61,643,7652152,141525
Apriori_k1km1,950,0.598031759262085,55,935,12788528,0
Apriori_km1km1,950,0.3009977340698242,55,142041,6001174,0
Apriori_trie_improved,950,0.39800214767456055,55,516,6001174,141525
Apriori_k1km1,1000,0.4270336627960205,49,686,8779010,0
Apriori_km1km1,1000,0.23999881744384766,49,141924,4219166,0
Apriori_trie_improved,1000,0.29701852798461914,49,399,4219166,141525
