,person ID
132,133
202,203
196,197
75,76
176,177
59,60
93,94
6,7
177,178
30,31
22,23
258,259
56,57
242,243
114,115
287,288
282,283
197,198
158,159
164,165
244,245
84,85
66,67
113,114
167,168
250,251
19,20
143,144
79,80
144,145
124,125
72,73
15,16
10,11
163,164
155,156
97,98
68,69
229,230
37,38
16,17
126,127
291,292
273,274
67,68
108,109
69,70
31,32
178,179
154,155
230,231
295,296
18,19
185,186
96,97
183,184
148,149
86,87
253,254
289,290
206,207
288,289
170,171
234,235
211,212
55,56
186,187
298,299
210,211
129,130
38,39
239,240
173,174
140,141
112,113
172,173
117,118
280,281
274,275
165,166
180,181
182,183
2,3
115,116
147,148
181,182
120,121
215,216
262,263
127,128
74,75
29,30
83,84
248,249
107,108
157,158
208,209
133,134
194,195
221,222
65,66
203,204
85,86
218,219
159,160
12,13
35,36
28,29
142,143
195,196
131,132
226,227
51,52
95,96
213,214
225,226
41,42
89,90
222,223
136,137
26,27
296,297
141,142
238,239
0,1
271,272
275,276
100,101
261,262
103,104
171,172
98,99
36,37
61,62
150,151
265,266
233,234
247,248
11,12
299,300
200,201
277,278
27,28
224,225
4,5
122,123
32,33
209,210
162,163
237,238
259,260
138,139
62,63
135,136
128,129
293,294
8,9
70,71
267,268
64,65
44,45
240,241
156,157
40,41
123,124
278,279
216,217
153,154
23,24
263,264
110,111
81,82
207,208
212,213
39,40
245,246
294,295
260,261
199,200
14,15
47,48
94,95
266,267
227,228
286,287
201,202
161,162
43,44
217,218
145,146
190,191
220,221
256,257
3,4
105,106
53,54
1,2
49,50
80,81
205,206
34,35
91,92
52,53
264,265
241,242
13,14
88,89
166,167
297,298
134,135
290,291
243,244
54,55
50,51
174,175
189,190
301,302
187,188
169,170
58,59
48,49
235,236
252,253
21,22
160,161
276,277
191,192
257,258
149,150
130,131
151,152
99,100
87,88
214,215
121,122
302,303
20,21
188,189
71,72
106,107
270,271
102,103
